time,latitude,longitude,precipitation_warmest_quarter,surface-sensible-heat-flux_driest-quarter,evaporative-fraction_driest-quarter,surface-sensible-heat-flux_wettest-quarter,surface-latent-heat-flux_driest-quarter,mean_temp_warmest_quarter,surface-sensible-heat-flux_warmest-quarter,surface-sensible-heat-flux_coldest-quarter,mean_temp_wettest_quarter,surface-latent-heat-flux_warmest-quarter,surface-latent-heat-flux_coldest-quarter,volumetric-soil-water-layer-1_wettest-quarter,evaporative-fraction_warmest-quarter,mean_temp_annual,evaporative-fraction_coldest-quarter,volumetric-soil-water-layer-1_coldest-quarter,precipitaion_driest_quarter,evaporative-fraction_wettest-quarter,mean_diurnal_range,volumetric-soil-water-layer-1_warmest-quarter,surface-latent-heat-flux_wettest-quarter,precipitation_wettest_quarter,aridity_wettest-quarter,potential-evaporation_wettest-quarter,potential-evaporation_coldest-quarter,aridity_coldest-quarter,water-vapor-pressure_annual-mean,potential-evaporation_warmest-quarter,cloud-cover_annual-mean,aridity_warmest-quarter,aridity_driest-quarter,mean_temp_driest_quarter,mean_temp_coldest_quarter,volumetric-soil-water-layer-1_driest-quarter,potential-evaporation_driest-quarter,precipitation_coldest_quarter
1960,50.25,2.75,2.34E-08,-2.471609,0.8988949,-1.8008003,36.42178,289.38147,16.46493,-15.403919,282.73038,78.67777,11.181388,0.37373483,0.8004312,282.8845,0.96904784,0.3785441,1.62E-08,0.90471655,6.6777687,0.28361273,47.498444,3.49E-08,0.027569897,1.57E-08,2.43E-09,0.012140906,1047.209,3.03E-08,0.68769515,0.27281058,0.09052333,280.83795,275.81818,0.33015063,1.04E-08,2.12E-08
1960,50.25,3.25,2.40E-08,-4.8264146,0.91999453,-0.8810357,35.605232,289.59235,13.752907,-16.906586,283.12534,79.97643,11.475448,0.37340206,0.82268953,283.00775,0.9731665,0.37990847,1.66E-08,0.9062576,6.77232,0.28218323,50.077377,3.45E-08,0.043136813,1.69E-08,2.39E-09,0.012359992,1050.8651,3.05E-08,0.6866591,0.2673309,0.027320653,280.63486,275.75305,0.33458894,9.43E-09,2.12E-08
1960,50.25,3.75,2.70E-08,-4.768589,0.92491454,-3.3899703,43.03855,289.31512,9.1756115,-17.644852,282.46277,88.20048,12.538559,0.37903604,0.876857,282.6809,0.97789925,0.3835262,1.92E-08,0.91822964,6.646272,0.2876207,52.843746,3.89E-08,0.050670184,1.66E-08,2.21E-09,0.011645412,1041.368,3.08E-08,0.6943637,0.23802799,0.023286775,281.25754,275.2885,0.32650173,1.12E-08,2.56E-08
1960,50.25,4.25,2.82E-08,-4.4142113,0.92136836,0.5665325,38.66551,288.94696,10.460056,-16.276329,282.64835,89.13015,11.211218,0.37884796,0.8695353,282.24118,0.97320795,0.3850487,1.97E-08,0.90069735,6.480483,0.29330468,56.352753,3.95E-08,0.03895669,1.74E-08,1.95E-09,0.009232243,1026.4325,3.07E-08,0.6984771,0.21827121,0.03645122,280.27768,274.69708,0.33763358,9.56E-09,2.58E-08
1960,50.25,4.75,2.81E-08,-1.6286116,0.9125092,3.3774216,40.329407,288.90445,13.155546,-15.506037,282.9825,86.98382,10.622425,0.3725249,0.8476599,282.0598,0.9727132,0.3853479,1.95E-08,0.883751,6.5839653,0.2899664,61.0093,3.84E-08,0.03695627,1.89E-08,1.83E-09,0.00790048,1014.13226,3.11E-08,0.69993365,0.20330715,0.02834402,280.77188,274.31482,0.32848552,1.13E-08,2.46E-08
1960,50.25,5.25,2.98E-08,2.694458,0.8964219,0.27020442,46.478256,288.6161,13.068502,-14.67165,282.24225,87.72803,9.7913065,0.37662345,0.85119617,281.69714,0.9713471,0.38692984,2.11E-08,0.900687,6.6066422,0.28912616,58.865013,4.11E-08,0.020479742,1.72E-08,1.73E-09,0.003742849,997.78766,3.10E-08,0.7038148,0.1686686,0.034471944,280.8377,273.79608,0.32191658,1.38E-08,2.75E-08
1960,50.25,5.75,3.34E-08,2.0599794,0.89315754,1.2315891,45.07126,287.8534,14.400574,-12.466354,280.42303,87.35755,6.3526616,0.38979355,0.8388527,280.8201,0.9817789,0.38924983,2.37E-08,0.897021,6.443424,0.30609787,49.52511,4.68E-08,0.009782526,1.43E-08,1.12E-09,0,960.6561,3.01E-08,0.7189047,0.10480234,0,280.03323,272.70016,0.33794725,1.24E-08,3.14E-08
1960,50.25,6.25,3.31E-08,0.70908976,0.8851984,7.754818,30.617073,287.46057,19.11018,-10.629942,281.44016,84.39615,4.254012,0.37856087,0.7993317,280.21912,0.98802215,0.3896338,2.29E-08,0.8588171,6.2274885,0.30261448,56.002243,4.50E-08,0.033630237,1.80E-08,8.24E-10,5.76E-08,930.4862,3.04E-08,0.72636586,0.091516376,0,278.19043,271.91684,0.34585232,8.07E-09,2.94E-08
1960,50.25,6.75,2.65E-08,1.5979452,0.8832088,9.1493435,27.541119,288.26746,25.822615,-11.743252,281.96237,77.69316,7.698351,0.37129217,0.74151826,280.8334,0.9962522,0.38696626,1.81E-08,0.83519393,6.3732023,0.28072956,57.04364,3.62E-08,0.025873985,1.94E-08,1.47E-09,0,940.1383,3.26E-08,0.7091597,0.18743518,0,277.71973,272.36438,0.33640313,8.18E-09,2.21E-08
1960,50.25,7.25,2.45E-08,2.0120769,0.8637144,9.317583,25.9184,288.95023,26.88713,-12.4819355,283.26062,74.95794,9.85051,0.361273,0.72659206,281.41202,0.98785305,0.38791245,1.61E-08,0.83070886,6.658145,0.27763903,59.031345,3.30E-08,0.061048113,2.14E-08,2.06E-09,6.23E-08,957.9948,3.36E-08,0.7010079,0.2428436,0.047908887,277.62076,272.80078,0.33800098,8.71E-09,1.84E-08
1960,50.75,2.25,2.40E-08,3.2473478,0.8832536,-2.143847,40.393356,289.15753,24.443863,-18.31049,282.7318,75.832344,14.206188,0.3695532,0.7370718,283.03415,0.9722772,0.37806475,1.63E-08,0.8867309,6.1252646,0.28067192,45.490715,3.56E-08,0.035387896,1.53E-08,2.60E-09,0.007727469,1057.5051,3.10E-08,0.6806958,0.3396368,0.12299557,281.3045,276.40054,0.32432026,1.35E-08,2.16E-08
1960,50.75,2.75,2.28E-08,4.1763096,0.8748258,-1.2801307,43.373337,289.44446,18.693476,-19.061743,283.4259,77.031586,13.922156,0.36773765,0.7798088,283.2105,0.9751767,0.3780901,1.54E-08,0.8890111,6.3415594,0.28524512,47.683582,3.33E-08,0.03711229,1.68E-08,2.61E-09,0.016525257,1060.9569,3.07E-08,0.68161565,0.35345545,0.17950928,282.24643,276.34845,0.31770068,1.52E-08,2.01E-08
1960,50.75,3.25,2.45E-08,4.168848,0.8609944,-1.8149426,42.40713,289.5166,17.613081,-19.746035,283.51715,78.11172,14.19145,0.37252423,0.7950176,283.19736,0.97503424,0.38026783,1.68E-08,0.88197273,6.394141,0.3015985,47.438034,3.51E-08,0.044279568,1.67E-08,2.56E-09,0.01775011,1057.2402,3.06E-08,0.68830895,0.2741159,0.14353403,281.95438,276.1475,0.3289469,1.45E-08,2.21E-08
1960,50.75,3.75,2.52E-08,-0.23781109,0.9037259,-3.6744528,46.783146,289.54095,13.264708,-20.898777,283.00766,83.35012,14.242016,0.3629214,0.8436339,283.09937,0.9823069,0.36997035,1.72E-08,0.9059009,6.6122394,0.27972254,50.125107,3.54E-08,0.03127985,1.65E-08,2.31E-09,0.015786115,1050.5133,3.10E-08,0.69430625,0.256728,0.13193342,282.72946,275.8448,0.3055324,1.49E-08,2.28E-08
1960,50.75,4.25,2.60E-08,0.98206615,0.89059687,-2.3829775,47.403805,289.50906,14.136362,-19.844269,282.77292,84.56665,13.592241,0.36635005,0.8405478,282.96014,0.97750145,0.38133487,1.73E-08,0.89544165,6.711059,0.28518143,52.75275,3.56E-08,0.049165446,1.73E-08,2.30E-09,0.012875185,1042.1992,3.18E-08,0.69233304,0.25287855,0.1334607,282.29083,275.52332,0.31758553,1.51E-08,2.29E-08
1960,50.75,4.75,2.78E-08,-1.6458383,0.9011777,0.33471406,40.636517,289.44528,13.808355,-19.45828,284.07675,84.62991,13.369664,0.36549947,0.84428644,282.80176,0.97283244,0.3821392,1.81E-08,0.88470674,6.6757913,0.2915395,62.545418,3.67E-08,0.04451435,2.05E-08,2.26E-09,0.013144124,1032.9412,3.19E-08,0.6901649,0.22115773,0.031864136,280.75455,275.20947,0.33650744,1.19E-08,2.30E-08
